0.00.182.597 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.01.367.452 W srv  llama_server: -----------------
0.01.367.458 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.01.367.458 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.01.367.459 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.01.367.459 W srv  llama_server: -----------------
0.01.368.954 I srv    load_model: loading model '/home/mark/AI/Models/Qwen 3.6/27B/Qwen3.6-27B-Q4_0-STATIC.gguf'
0.06.464.920 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 32768, kv_unified = 'true'
0.06.501.029 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.06.501.087 I srv  llama_server: model loaded
0.06.501.109 I srv  llama_server: listening on http://127.0.0.1:8094
0.10.156.642 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
1.12.863.496 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  19968, progress = 0.74, t =  62.71 s / 318.44 tokens per second
1.15.115.433 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  20480, progress = 0.76, t =  64.96 s / 315.28 tokens per second
1.16.506.325 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  20992, progress = 0.77, t =  66.35 s / 316.39 tokens per second
1.17.984.300 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  21504, progress = 0.79, t =  67.83 s / 317.04 tokens per second
1.20.262.463 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  22016, progress = 0.81, t =  70.11 s / 314.04 tokens per second
1.21.659.508 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  22528, progress = 0.83, t =  71.50 s / 315.07 tokens per second
1.23.161.278 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  23040, progress = 0.85, t =  73.00 s / 315.60 tokens per second
1.25.470.675 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  23552, progress = 0.87, t =  75.31 s / 312.72 tokens per second
1.26.890.196 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  24064, progress = 0.89, t =  76.73 s / 313.61 tokens per second
1.28.407.721 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  24576, progress = 0.91, t =  78.25 s / 314.07 tokens per second
1.30.733.347 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  25088, progress = 0.92, t =  80.58 s / 311.36 tokens per second
1.32.169.697 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  25600, progress = 0.94, t =  82.01 s / 312.15 tokens per second
1.33.711.720 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  26112, progress = 0.96, t =  83.55 s / 312.51 tokens per second
1.36.056.699 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  26611, progress = 0.98, t =  85.90 s / 309.79 tokens per second
1.39.253.004 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  27119, progress = 1.00, t =  89.10 s / 304.38 tokens per second
1.52.266.323 I slot print_timing: id  3 | task 0 | n_decoded =    100, tg =  13.82 t/s, tg_3s =  13.82 t/s
1.55.332.298 I slot print_timing: id  3 | task 0 | n_decoded =    142, tg =  13.79 t/s, tg_3s =  13.70 t/s
1.58.400.027 I slot print_timing: id  3 | task 0 | n_decoded =    184, tg =  13.76 t/s, tg_3s =  13.69 t/s
2.01.465.961 I slot print_timing: id  3 | task 0 | n_decoded =    226, tg =  13.75 t/s, tg_3s =  13.70 t/s
2.03.655.860 I slot print_timing: id  3 | task 0 | prompt eval time =   94874.58 ms / 27123 tokens (    3.50 ms per token,   285.88 tokens per second)
2.03.655.869 I slot print_timing: id  3 | task 0 |        eval time =   18624.38 ms /   256 tokens (   72.75 ms per token,    13.75 tokens per second)
2.03.655.871 I slot print_timing: id  3 | task 0 |       total time =  113498.96 ms / 27379 tokens
2.03.655.879 I slot print_timing: id  3 | task 0 |    graphs reused =        254
2.03.659.960 I slot      release: id  3 | task 0 | stop processing: n_tokens = 27378, truncated = 0
2.03.679.313 I srv    operator(): operator(): cleaning up before exit...
