0.00.170.922 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.01.318.524 I srv    load_model: loading model '/home/mark/AI/Models/Qwen 3.6/27B/Qwen3.6-27B-BF16-00001-of-00002.gguf'
1.58.775.375 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 1024, kv_unified = 'false'
1.58.837.911 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
1.58.838.328 I srv  llama_server: model loaded
1.58.838.337 I srv  llama_server: listening on http://127.0.0.1:8090
2.01.016.787 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
3.07.595.249 I slot print_timing: id  3 | task 0 | n_decoded =    200, tg =   3.14 t/s, tg_3s =   3.16 t/s
3.07.909.533 I slot print_timing: id  0 | task 4 | n_decoded =    200, tg =   3.17 t/s, tg_3s =   3.16 t/s
3.07.910.356 I slot print_timing: id  1 | task 2 | n_decoded =    200, tg =   3.17 t/s, tg_3s =   3.16 t/s
3.10.761.366 I slot print_timing: id  2 | task 1 | n_decoded =    210, tg =   3.14 t/s, tg_3s =   3.16 t/s
3.10.762.208 I slot print_timing: id  3 | task 0 | n_decoded =    210, tg =   3.14 t/s, tg_3s =   3.16 t/s
3.11.076.426 I slot print_timing: id  0 | task 4 | n_decoded =    210, tg =   3.17 t/s, tg_3s =   3.16 t/s
3.11.077.265 I slot print_timing: id  1 | task 2 | n_decoded =    210, tg =   3.17 t/s, tg_3s =   3.16 t/s
3.13.933.507 I slot print_timing: id  2 | task 1 | n_decoded =    220, tg =   3.14 t/s, tg_3s =   3.15 t/s
3.13.934.337 I slot print_timing: id  3 | task 0 | n_decoded =    220, tg =   3.14 t/s, tg_3s =   3.15 t/s
3.14.248.519 I slot print_timing: id  0 | task 4 | n_decoded =    220, tg =   3.17 t/s, tg_3s =   3.15 t/s
3.14.249.360 I slot print_timing: id  1 | task 2 | n_decoded =    220, tg =   3.17 t/s, tg_3s =   3.15 t/s
3.17.116.454 I slot print_timing: id  2 | task 1 | n_decoded =    230, tg =   3.14 t/s, tg_3s =   3.14 t/s
3.17.117.330 I slot print_timing: id  3 | task 0 | n_decoded =    230, tg =   3.14 t/s, tg_3s =   3.14 t/s
3.17.435.396 I slot print_timing: id  0 | task 4 | n_decoded =    230, tg =   3.17 t/s, tg_3s =   3.14 t/s
3.17.436.228 I slot print_timing: id  1 | task 2 | n_decoded =    230, tg =   3.17 t/s, tg_3s =   3.14 t/s
3.20.326.533 I slot print_timing: id  2 | task 1 | n_decoded =    240, tg =   3.14 t/s, tg_3s =   3.12 t/s
3.20.327.419 I slot print_timing: id  3 | task 0 | n_decoded =    240, tg =   3.14 t/s, tg_3s =   3.12 t/s
3.20.645.518 I slot print_timing: id  0 | task 4 | n_decoded =    240, tg =   3.17 t/s, tg_3s =   3.12 t/s
3.20.646.402 I slot print_timing: id  1 | task 2 | n_decoded =    240, tg =   3.17 t/s, tg_3s =   3.12 t/s
3.23.532.621 I slot print_timing: id  2 | task 1 | n_decoded =    250, tg =   3.14 t/s, tg_3s =   3.12 t/s
3.23.533.484 I slot print_timing: id  3 | task 0 | n_decoded =    250, tg =   3.14 t/s, tg_3s =   3.12 t/s
