0.00.184.484 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.01.268.330 W srv  llama_server: -----------------
0.01.268.335 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.01.268.336 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.01.268.336 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.01.268.337 W srv  llama_server: -----------------
0.01.269.821 I srv    load_model: loading model '/home/mark/AI/Models/Qwen 3.6/27B/Qwen3.6-27B-Q4_0-STATIC.gguf'
0.06.556.393 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 32768, kv_unified = 'true'
0.06.592.503 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.06.592.572 I srv  llama_server: model loaded
0.06.592.583 I srv  llama_server: listening on http://127.0.0.1:8094
0.10.174.817 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
1.24.590.048 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  20480, progress = 0.76, t =  74.41 s / 275.21 tokens per second
1.27.183.970 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  20992, progress = 0.77, t =  77.01 s / 272.59 tokens per second
1.28.780.013 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  21504, progress = 0.79, t =  78.60 s / 273.57 tokens per second
1.31.390.883 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  22016, progress = 0.81, t =  81.22 s / 271.08 tokens per second
1.33.019.068 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  22528, progress = 0.83, t =  82.84 s / 271.93 tokens per second
1.35.648.901 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  23040, progress = 0.85, t =  85.47 s / 269.56 tokens per second
1.37.324.968 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  23552, progress = 0.87, t =  87.15 s / 270.25 tokens per second
1.39.969.872 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  24064, progress = 0.89, t =  89.79 s / 267.99 tokens per second
1.41.681.184 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  24576, progress = 0.91, t =  91.51 s / 268.57 tokens per second
1.44.345.868 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  25088, progress = 0.92, t =  94.17 s / 266.41 tokens per second
1.46.072.753 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  25600, progress = 0.94, t =  95.90 s / 266.95 tokens per second
1.48.767.596 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  26112, progress = 0.96, t =  98.59 s / 264.85 tokens per second
1.50.512.804 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  26611, progress = 0.98, t = 100.34 s / 265.21 tokens per second
1.53.750.492 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  27119, progress = 1.00, t = 103.58 s / 261.83 tokens per second
2.11.807.691 I slot print_timing: id  3 | task 0 | n_decoded =    100, tg =   7.75 t/s, tg_3s =   7.75 t/s
2.14.936.142 I slot print_timing: id  3 | task 0 | n_decoded =    124, tg =   7.73 t/s, tg_3s =   7.67 t/s
2.18.065.304 I slot print_timing: id  3 | task 0 | n_decoded =    148, tg =   7.72 t/s, tg_3s =   7.67 t/s
2.21.194.650 I slot print_timing: id  3 | task 0 | n_decoded =    172, tg =   7.72 t/s, tg_3s =   7.67 t/s
2.24.323.181 I slot print_timing: id  3 | task 0 | n_decoded =    196, tg =   7.71 t/s, tg_3s =   7.67 t/s
2.27.451.680 I slot print_timing: id  3 | task 0 | n_decoded =    220, tg =   7.71 t/s, tg_3s =   7.67 t/s
2.30.579.997 I slot print_timing: id  3 | task 0 | n_decoded =    244, tg =   7.70 t/s, tg_3s =   7.67 t/s
2.32.144.412 I slot print_timing: id  3 | task 0 | prompt eval time =  108725.97 ms / 27123 tokens (    4.01 ms per token,   249.46 tokens per second)
2.32.144.427 I slot print_timing: id  3 | task 0 |        eval time =   33243.38 ms /   256 tokens (  129.86 ms per token,     7.70 tokens per second)
2.32.144.429 I slot print_timing: id  3 | task 0 |       total time =  141969.34 ms / 27379 tokens
2.32.144.441 I slot print_timing: id  3 | task 0 |    graphs reused =        254
2.32.148.536 I slot      release: id  3 | task 0 | stop processing: n_tokens = 27378, truncated = 0
2.32.169.516 I srv    operator(): operator(): cleaning up before exit...
