qemu-audio-oss 11.1.0-1 -> 11.1.1-1
qemu-audio-pa 11.1.0-1 -> 11.1.1-1
qemu-audio-pipewire 11.1.0-1 -> 11.1.1-1
qemu-audio-sdl 11.1.0-1 -> 11.1.1-1
qemu-audio-spice 11.1.0-1 -> 11.1.1-1
qemu-base 11.1.0-1 -> 11.1.1-1
qemu-block-curl 11.1.0-1 -> 11.1.1-1
qemu-block-dmg 11.1.0-1 -> 11.1.1-1
qemu-block-nfs 11.1.0-1 -> 11.1.1-1
qemu-block-ssh 11.1.0-1 -> 11.1.1-1
qemu-chardev-spice 11.1.0-1 -> 11.1.1-1
qemu-common 11.1.0-1 -> 11.1.1-1
qemu-desktop 11.1.0-1 -> 11.1.1-1
qemu-hw-display-qxl 11.1.0-1 -> 11.1.1-1
qemu-hw-display-virtio-gpu 11.1.0-1 -> 11.1.1-1
qemu-hw-display-virtio-gpu-gl 11.1.0-1 -> 11.1.1-1
qemu-hw-display-virtio-gpu-pci 11.1.0-1 -> 11.1.1-1
qemu-hw-display-virtio-gpu-pci-gl 11.1.0-1 -> 11.1.1-1
qemu-hw-display-virtio-gpu-pci-rutabaga 11.1.0-1 -> 11.1.1-1
qemu-hw-display-virtio-gpu-rutabaga 11.1.0-1 -> 11.1.1-1
qemu-hw-display-virtio-vga 11.1.0-1 -> 11.1.1-1
qemu-hw-display-virtio-vga-gl 11.1.0-1 -> 11.1.1-1
qemu-hw-display-virtio-vga-rutabaga 11.1.0-1 -> 11.1.1-1
qemu-hw-uefi-vars 11.1.0-1 -> 11.1.1-1
qemu-hw-usb-host 11.1.0-1 -> 11.1.1-1
qemu-hw-usb-redirect 11.1.0-1 -> 11.1.1-1
qemu-hw-usb-smartcard 11.1.0-1 -> 11.1.1-1
qemu-img 11.1.0-1 -> 11.1.1-1
qemu-system-x86 11.1.0-1 -> 11.1.1-1
qemu-system-x86-firmware 11.1.0-1 -> 11.1.1-1
qemu-ui-curses 11.1.0-1 -> 11.1.1-1
qemu-ui-dbus 11.1.0-1 -> 11.1.1-1
qemu-ui-egl-headless 11.1.0-1 -> 11.1.1-1
qemu-ui-gtk 11.1.0-1 -> 11.1.1-1
qemu-ui-opengl 11.1.0-1 -> 11.1.1-1
qemu-ui-sdl 11.1.0-1 -> 11.1.1-1
qemu-ui-spice-app 11.1.0-1 -> 11.1.1-1
qemu-ui-spice-core 11.1.0-1 -> 11.1.1-1
qemu-vhost-user-gpu 11.1.0-1 -> 11.1.1-1
qpdf 12.4.0-1.1 -> 12.4.1-1.1
qt-sudo 2.3.0-1 -> 2.4.1-1
qt6-base 6.11.2-2.1 -> 6.11.2-3.1
rate-mirrors 0.30.0-1 -> 0.31.0-2
re2 2:2025.11.05-5.1 -> 2:2025.11.05-6.1
simdjson 1:4.6.7-1.1 -> 1:4.6.9-1.1
srt 1.5.6-1.1 -> 1.5.7-1.1
system-config-printer 1.5.18-6 -> 1.5.18-7.1
tar 1.35-3.1 -> 1.35-5
tealdeer 1.8.1-2.1 -> 1.9.0-1.1
ttf-fantasque-nerd 3.5.1-1 -> 3.5.1-2
ttf-meslo-nerd 3.5.1-1 -> 3.5.1-2
vim 9.2.0849-1.1 -> 9.2.1011-1.1
vim-runtime 9.2.0849-1.1 -> 9.2.1011-1.1
vlc-plugin-a52dec 3.0.23_2-10.1 -> 3.0.23_2-13.1
vlc-plugin-aalib 3.0.23_2-10.1 -> 3.0.23_2-13.1
vlc-plugin-alsa 3.0.23_2-10.1 -> 3.0.23_2-13.1
vlc-plugin-aom 3.0.23_2-10.1 -> 3.0.23_2-13.1
vlc-plugin-archive 3.0.23_2-10.1 -> 3.0.23_2-13.1
vlc-plugin-aribb24 3.0.23_2-10.1 -> 3.0.23_2-13.1
vlc-plugin-aribb25 3.0.23_2-10.1 -> 3.0.23_2-13.1
vlc-plugin-ass 3.0.23_2-10.1 -> 3.0.23_2-13.1
vlc-plugin-avahi 3.0.23_2-10.1 -> 3.0.23_2-13.1
vlc-plugin-bluray 3.0.23_2-10.1 -> 3.0.23_2-13.1
vlc-plugin-caca 3.0.23_2-10.1 -> 3.0.23_2-13.1
vlc-plugin-cddb 3.0.23_2-10.1 -> 3.0.23_2-13.1
vlc-plugin-chromecast 3.0.23_2-10.1 -> 3.0.23_2-13.1
vlc-plugin-dav1d 3.0.23_2-10.1 -> 3.0.23_2-13.1
vlc-plugin-dbus 3.0.23_2-10.1 -> 3.0.23_2-13.1
vlc-plugin-dbus-screensaver 3.0.23_2-10.1 -> 3.0.23_2-13.1
vlc-plugin-dca 3.0.23_2-10.1 -> 3.0.23_2-13.1
vlc-plugin-dvb 3.0.23_2-10.1 -> 3.0.23_2-13.1
vlc-plugin-dvd 3.0.23_2-10.1 -> 3.0.23_2-13.1
vlc-plugin-faad2 3.0.23_2-10.1 -> 3.0.23_2-13.1
vlc-plugin-ffmpeg 3.0.23_2-10.1 -> 3.0.23_2-13.1
vlc-plugin-firewire 3.0.23_2-10.1 -> 3.0.23_2-13.1
vlc-plugin-flac 3.0.23_2-10.1 -> 3.0.23_2-13.1
vlc-plugin-fluidsynth 3.0.23_2-10.1 -> 3.0.23_2-13.1
vlc-plugin-freetype 3.0.23_2-10.1 -> 3.0.23_2-13.1
vlc-plugin-gme 3.0.23_2-10.1 -> 3.0.23_2-13.1
vlc-plugin-gnutls 3.0.23_2-10.1 -> 3.0.23_2-13.1
vlc-plugin-gstreamer 3.0.23_2-10.1 -> 3.0.23_2-13.1
vlc-plugin-inflate 3.0.23_2-10.1 -> 3.0.23_2-13.1
vlc-plugin-jack 3.0.23_2-10.1 -> 3.0.23_2-13.1
vlc-plugin-journal 3.0.23_2-10.1 -> 3.0.23_2-13.1
vlc-plugin-jpeg 3.0.23_2-10.1 -> 3.0.23_2-13.1
vlc-plugin-kate 3.0.23_2-10.1 -> 3.0.23_2-13.1
vlc-plugin-libsecret 3.0.23_2-10.1 -> 3.0.23_2-13.1
vlc-plugin-lirc 3.0.23_2-10.1 -> 3.0.23_2-13.1
vlc-plugin-live555 3.0.23_2-10.1 -> 3.0.23_2-13.1
vlc-plugin-lua 3.0.23_2-10.1 -> 3.0.23_2-13.1
vlc-plugin-mad 3.0.23_2-10.1 -> 3.0.23_2-13.1
vlc-plugin-matroska 3.0.23_2-10.1 -> 3.0.23_2-13.1
vlc-plugin-mdns 3.0.23_2-10.1 -> 3.0.23_2-13.1
vlc-plugin-modplug 3.0.23_2-10.1 -> 3.0.23_2-13.1
vlc-plugin-mpeg2 3.0.23_2-10.1 -> 3.0.23_2-13.1
vlc-plugin-mpg123 3.0.23_2-10.1 -> 3.0.23_2-13.1
vlc-plugin-mtp 3.0.23_2-10.1 -> 3.0.23_2-13.1
vlc-plugin-musepack 3.0.23_2-10.1 -> 3.0.23_2-13.1
vlc-plugin-nfs 3.0.23_2-10.1 -> 3.0.23_2-13.1
vlc-plugin-notify 3.0.23_2-10.1 -> 3.0.23_2-13.1
vlc-plugin-ogg 3.0.23_2-10.1 -> 3.0.23_2-13.1
vlc-plugin-opus 3.0.23_2-10.1 -> 3.0.23_2-13.1
vlc-plugin-png 3.0.23_2-10.1 -> 3.0.23_2-13.1
vlc-plugin-pulse 3.0.23_2-10.1 -> 3.0.23_2-13.1
vlc-plugin-samplerate 3.0.23_2-10.1 -> 3.0.23_2-13.1
vlc-plugin-sdl 3.0.23_2-10.1 -> 3.0.23_2-13.1
vlc-plugin-sftp 3.0.23_2-10.1 -> 3.0.23_2-13.1
vlc-plugin-shout 3.0.23_2-10.1 -> 3.0.23_2-13.1
vlc-plugin-smb 3.0.23_2-10.1 -> 3.0.23_2-13.1
vlc-plugin-soxr 3.0.23_2-10.1 -> 3.0.23_2-13.1
vlc-plugin-speex 3.0.23_2-10.1 -> 3.0.23_2-13.1
vlc-plugin-srt 3.0.23_2-10.1 -> 3.0.23_2-13.1
vlc-plugin-svg 3.0.23_2-10.1 -> 3.0.23_2-13.1
vlc-plugin-tag 3.0.23_2-10.1 -> 3.0.23_2-13.1
vlc-plugin-theora 3.0.23_2-10.1 -> 3.0.23_2-13.1
vlc-plugin-twolame 3.0.23_2-10.1 -> 3.0.23_2-13.1
vlc-plugin-udev 3.0.23_2-10.1 -> 3.0.23_2-13.1
vlc-plugin-upnp 3.0.23_2-10.1 -> 3.0.23_2-13.1
vlc-plugin-vorbis 3.0.23_2-10.1 -> 3.0.23_2-13.1
vlc-plugin-vpx 3.0.23_2-10.1 -> 3.0.23_2-13.1
vlc-plugin-x264 3.0.23_2-10.1 -> 3.0.23_2-13.1
vlc-plugin-x265 3.0.23_2-10.1 -> 3.0.23_2-13.1
vlc-plugin-xml 3.0.23_2-10.1 -> 3.0.23_2-13.1
vlc-plugin-zvbi 3.0.23_2-10.1 -> 3.0.23_2-13.1
vlc-plugins-all 3.0.23_2-10.1 -> 3.0.23_2-13.1
vlc-plugins-base 3.0.23_2-10.1 -> 3.0.23_2-13.1
vlc-plugins-extra 3.0.23_2-10.1 -> 3.0.23_2-13.1
vlc-plugins-video-output 3.0.23_2-10.1 -> 3.0.23_2-13.1
vlc-plugins-visualization 3.0.23_2-10.1 -> 3.0.23_2-13.1
wine 11.15-1.1 -> 11.16-1.1
zellij 0.44.3-1.1 -> 0.45.1-1.1
zsh-theme-powerlevel10k 1:1.20.17-1 -> 1:1.20.18-1
