Validator,PT_VERSION,2.9.1
Validator,HIP_VERSION,702
Validator,HIPBLASLT_VERSION,100201-5b515cf1bc
Validator,GCN_ARCH_NAME,gfx1201
Validator,ROCBLAS_VERSION,5.2.0.5b515cf1bc
GemmTunableOp_Half_NN,nn_27648_288_5120_ld_27648_5120_27648,Gemm_Rocblas_85902,0.675044
GemmTunableOp_Half_NN,nn_5120_304_13824_ld_5120_13824_5120,Gemm_Rocblas_84785,0.357212
GemmTunableOp_Half_NN,nn_27648_8192_5120_ld_27648_5120_27648,Gemm_Hipblaslt_84793,15.1414
GemmTunableOp_Half_NN,nn_5120_288_13824_ld_5120_13824_5120,Gemm_Rocblas_85902,0.33298
GemmTunableOp_Half_NN,nn_27648_304_5120_ld_27648_5120_27648,Gemm_Rocblas_84722,0.732868
GemmTunableOp_Half_NN,nn_5120_1_13824_ld_5120_13824_5120,Gemm_Rocblas_-9,0.230573
GemmTunableOp_Half_NN,nn_27648_64_5120_ld_27648_5120_27648,Gemm_Hipblaslt_85918,0.47789
GemmTunableOp_Half_NN,nn_27648_1_5120_ld_27648_5120_27648,Gemm_Rocblas_-9,0.455098
GemmTunableOp_Half_NN,nn_27648_352_5120_ld_27648_5120_27648,Gemm_Rocblas_84788,0.758819
GemmTunableOp_Half_NN,nn_5120_208_13824_ld_5120_13824_5120,Gemm_Hipblaslt_84776,0.287008
GemmTunableOp_Half_NN,nn_5120_352_5120_ld_5120_5120_5120,Gemm_Rocblas_84788,0.14249
GemmTunableOp_Half_NN,nn_27648_248_5120_ld_27648_5120_27648,Gemm_Rocblas_84785,0.531522
GemmTunableOp_Half_NN,nn_5120_136_5120_ld_5120_5120_5120,Gemm_Rocblas_84694,0.084121
GemmTunableOp_Half_NN,nn_5120_400_5120_ld_5120_5120_5120,Gemm_Rocblas_84694,0.173161
GemmTunableOp_Half_NN,nn_5120_336_13824_ld_5120_13824_5120,Gemm_Rocblas_84785,0.359413
GemmTunableOp_Half_NN,nn_5120_480_13824_ld_5120_13824_5120,Gemm_Rocblas_84767,0.499541
GemmTunableOp_Half_NN,nn_5120_416_5120_ld_5120_5120_5120,Gemm_Rocblas_84694,0.173555
