ts,junction_c,edge_c,sclk_mhz,mclk_mhz,power_w,gpu_use
1789055881,44.0,41.0,1882,1258,53.0,7
1789055912,83.0,47.0,2809,1258,360.0,100
1789055942,84.0,48.0,2856,1258,330.0,100
1789055973,87.0,49.0,2828,1258,353.0,100
1789056004,79.0,49.0,3046,1258,287.0,100
1789056035,80.0,49.0,3027,1258,340.0,100
1789056065,79.0,49.0,3026,1258,334.0,100
1789056096,80.0,49.0,3029,1258,331.0,99
1789056127,79.0,49.0,2931,1258,285.0,100
1789056157,80.0,49.0,254,1258,286.0,100
1789056188,86.0,49.0,2932,1258,322.0,100
1789056219,80.0,49.0,3050,1258,335.0,99
1789056250,79.0,49.0,3066,1258,331.0,99
1789056280,80.0,50.0,3063,1258,326.0,98
1789056311,80.0,49.0,3021,1258,328.0,97
1789056342,80.0,49.0,3087,1258,331.0,99
1789056372,79.0,49.0,3069,1258,345.0,99
