ts,n,min_w,max_w,mean_w,over_cap,over_cap10,over_cap20,junction_c
1789054113,20,265.0,359.0,326.9,8,2,1,82
1789054114,20,110.0,366.0,314.4,10,3,2,78
1789054115,20,263.0,364.0,320.6,7,2,1,76
1789054117,20,325.0,333.0,329.1,8,0,0,76
1789054118,20,309.0,339.0,329.1,11,0,0,76
1789054119,20,51.0,366.0,266.1,7,1,1,75
1789054120,20,325.0,334.0,329.2,8,0,0,76
1789054121,20,51.0,335.0,160.1,4,0,0,47
1789054122,20,49.0,53.0,50.9,0,0,0,45
1789054123,20,49.0,270.0,60.4,0,0,0,70
1789054124,20,264.0,368.0,330.9,11,5,4,81
1789054125,20,289.0,350.0,328.7,7,1,0,78
1789054126,20,260.0,375.0,330.1,10,2,2,82
1789054127,20,274.0,376.0,332.4,9,3,3,83
1789054128,20,277.0,370.0,330.1,10,3,3,83
1789054129,20,282.0,353.0,329.0,8,3,1,78
1789054130,20,287.0,361.0,328.2,8,2,2,83
1789054131,20,244.0,412.0,333.1,10,5,5,83
1789054132,20,282.0,389.0,330.6,9,3,2,83
1789054133,20,186.0,370.0,325.1,11,6,3,84
1789054134,20,258.0,370.0,330.1,12,2,2,74
1789054135,20,247.0,378.0,330.2,10,3,3,84
1789054136,20,259.0,362.0,328.4,10,4,2,81
1789054137,20,247.0,370.0,326.0,7,5,3,83
1789054138,20,217.0,360.0,326.4,9,3,2,85
1789054139,20,256.0,372.0,319.1,7,4,3,77
1789054140,20,325.0,341.0,329.8,9,1,0,78
1789054141,20,310.0,334.0,328.2,8,0,0,77
1789054142,20,52.0,371.0,280.4,11,5,3,84
1789054143,20,262.0,361.0,324.3,6,2,1,77
1789054144,20,325.0,336.0,329.6,8,0,0,78
1789054145,20,311.0,348.0,328.6,8,1,0,78
1789054146,20,325.0,345.0,330.9,9,2,0,78
1789054147,20,53.0,337.0,301.0,8,0,0,53
1789054148,20,52.0,53.0,52.9,0,0,0,47
1789054149,20,50.0,376.0,125.0,4,4,4,80
1789054150,20,282.0,362.0,327.6,10,2,1,83
1789054151,20,265.0,363.0,326.5,9,2,2,83
1789054152,20,274.0,354.0,321.8,7,2,1,85
1789054153,20,261.0,366.0,330.1,8,3,2,84
1789054154,20,252.0,372.0,326.8,8,5,3,85
1789054155,20,281.0,381.0,331.8,10,4,4,84
1789054156,20,283.0,345.0,326.6,9,1,0,84
1789054157,20,252.0,372.0,327.1,11,4,2,85
1789054159,20,130.0,372.0,322.4,11,5,3,86
1789054160,20,235.0,374.0,326.4,8,3,1,85
1789054161,20,247.0,371.0,328.6,11,5,3,85
1789054162,20,259.0,360.0,325.0,9,3,1,85
1789054163,20,252.0,370.0,322.4,11,5,3,86
