1789180415,14135,16797
1789180420,14104,16803
1789180425,14091,16683
1789180430,14087,16820
1789180435,14087,16820
1789180440,14091,16789
1789180445,14161,16613
1789180450,14161,16659
1789180455,14167,16614
1789180460,14163,16477
1789180465,14090,16551
1789180470,14150,16552
1789180475,14159,16604
1789180480,14148,16618
1789180485,14130,16644
1789180490,14120,16738
1789180495,14120,16738
1789180500,14121,16719
1789180505,14110,16721
1789180510,14110,16707
1789180515,14110,16671
1789180520,14106,16498
1789180525,14132,16512
1789180530,14108,16560
1789180535,14138,16577
1789180540,14140,16531
1789180545,14129,16521
1789180550,14170,16544
1789180555,14151,16582
1789180560,14146,16555
1789180565,14142,16539
1789180570,14163,16444
1789180575,14147,16590
1789180580,14149,16601
1789180585,14119,16645
1789180590,14113,16645
1789180595,14140,16605
1789180600,14152,16567
1789180605,14153,16482
1789180610,14153,16625
1789180615,14141,16663
1789180620,14129,16641
1789180625,14107,16616
1789180630,14116,16652
1789180635,14105,16400
1789180640,14103,16426
1789180645,14107,16388
1789180650,14115,16150
1789180655,14108,16145
1789180660,14105,16026
1789180665,14105,16086
1789180670,14107,16215
1789180675,14107,16223
1789180680,14105,16258
1789180685,14094,16086
1789180690,14094,15913
1789180695,14098,15889
1789180700,14098,15755
1789180705,14142,15730
1789180710,14141,15750
1789180715,14131,15599
1789180720,14123,15419
1789180725,14111,15325
1789180730,14101,15330
1789180735,14109,15180
1789180740,14113,15058
1789180745,14109,15012
1789180750,14109,14962
1789180755,14110,14964
1789180760,14123,14864
1789180765,14116,14859
1789180770,14116,14721
1789180775,14113,14574
1789180780,14102,14551
1789180785,14116,14555
1789180790,14120,14374
1789180795,14105,14361
1789180800,14113,14257
1789180805,14111,14107
1789180810,14115,14073
1789180815,14113,14094
1789180820,14125,14110
1789180825,14126,14124
1789180830,14101,13809
1789180835,14110,13935
1789180840,14116,13945
1789180845,14109,13985
1789180850,14111,14044
1789180855,14104,14065
1789180860,14096,14080
1789180865,14174,13807
1789180870,14190,13854
1789180875,14180,13894
1789180880,14191,13952
1789180885,14135,13942
1789180890,14112,13915
1789180895,14116,14025
1789180900,14113,14020
1789180905,14114,14040
1789180910,14114,14015
1789180915,14105,14045
1789180920,14103,14012
1789180925,14094,14160
1789180930,14107,14185
1789180935,14108,14001
1789180940,14098,13901
1789180945,14098,13957
1789180950,14135,14042
1789180955,14135,14067
1789180960,14136,14075
1789180965,14136,14112
1789180970,14137,14232
1789180975,14137,14255
1789180980,14116,14231
1789180985,14112,14211
1789180990,14113,14251
1789180995,14113,14188
1789181000,14115,14009
1789181005,14115,14021
1789181010,14116,14013
1789181015,14126,13996
1789181020,14126,14022
1789181025,14126,14038
1789181030,14127,14077
1789181035,14128,14118
1789181040,14095,13769
1789181045,14090,13815
1789181050,14095,13711
1789181055,14081,13714
1789181060,14081,13721
1789181065,14082,13836
1789181070,14082,13840
1789181075,14079,13868
1789181080,14077,13903
1789181085,14086,13900
1789181090,14089,13897
1789181095,14089,13864
1789181100,14092,13666
1789181105,14092,13675
1789181110,14093,13738
1789181115,14093,13699
1789181120,14093,13735
1789181125,14179,13728
1789181130,14120,13700
1789181135,14110,13736
1789181141,14092,13759
1789181146,14093,13767
1789181151,14092,13862
1789181156,14093,13872
1789181161,14095,13847
1789181166,14096,13865
1789181171,14092,13877
1789181176,14083,13867
1789181181,14083,13875
1789181186,14083,13852
1789181191,14083,13858
1789181196,14084,13859
1789181201,14080,13827
1789181206,14081,13835
1789181211,14079,13852
1789181216,14079,13845
1789181221,14080,13838
1789181226,14080,13847
1789181231,14081,13824
1789181236,14086,13578
1789181241,14085,13636
1789181246,14085,13665
1789181251,14086,13686
1789181256,14086,13698
1789181261,14087,13713
1789181266,14098,13629
1789181271,14098,13735
1789181276,14098,13774
1789181281,14087,13505
1789181286,14090,13454
1789181291,14161,13554
1789181296,14158,13542
1789181301,14158,13547
1789181306,14140,13556
1789181311,14074,13650
1789181316,14076,13543
1789181321,14091,13629
1789181326,14091,13630
1789181331,14089,13395
1789181336,14089,13260
1789181341,14089,13271
1789181346,14089,13252
1789181351,14083,13129
1789181356,14083,13121
1789181361,14081,12907
1789181366,14082,12968
1789181371,14082,12961
1789181376,14082,12949
1789181381,14082,12938
1789181386,14083,12934
1789181391,14083,12950
1789181396,14084,12967
1789181401,14084,12955
1789181406,14084,12941
1789181411,14110,12952
1789181416,14092,12928
1789181421,14089,12750
1789181426,14099,12749
1789181431,14134,12422
1789181436,14114,12437
1789181441,14110,12416
1789181446,14101,12422
1789181451,14096,12551
1789181456,14101,12523
1789181461,14103,12353
1789181466,14095,12383
1789181471,14094,12189
1789181476,14098,11947
1789181481,14096,11736
1789181486,14096,11703
1789181491,14129,11536
1789181496,14125,11548
1789181501,14134,11460
1789181506,14116,11511
1789181511,14100,11511
1789181516,14099,11499
1789181521,14097,11495
1789181526,14091,11618
1789181531,14111,11673
1789181536,14113,11441
