Warning: Permanently added '10.0.0.76' (ED25519) to the list of known hosts.
# RX580 soak start 2026-07-29T23:20:52+00:00 dur=1800s
# vbios=113-58085SHD1-M80 vram=8589934592
t_s,sclk_mhz,mclk_mhz,temp_c,fan_rpm,power_w,busy_pct,vram_used_mb,pcie
985,1150,1000,55,724,39.2,26,226,5.0GT/s,x16
995,1150,300,54,724,38.1,100,229,5.0GT/s,x16
1005,1150,2100,54,727,37.2,22,225,5.0GT/s,x16
1015,1150,1000,54,724,37.1,23,229,5.0GT/s,x16
1025,1150,300,54,724,38.1,43,229,5.0GT/s,x16
1035,1150,2100,54,729,41.1,21,233,5.0GT/s,x16
1045,1150,2100,55,723,41.1,26,229,5.0GT/s,x16
1055,1150,2100,55,725,44.1,33,228,5.0GT/s,x16
1065,1150,2100,56,728,46.1,25,230,5.0GT/s,x16
1075,1150,2100,56,723,46.2,24,225,5.0GT/s,x16
1085,1150,1000,58,727,53.1,37,231,5.0GT/s,x16
1095,1150,300,55,746,32.1,27,237,5.0GT/s,x16
1105,1150,300,54,738,31.1,32,234,5.0GT/s,x16
1115,1150,2100,57,756,51.1,32,236,5.0GT/s,x16
1125,1150,300,61,911,70.2,69,230,5.0GT/s,x16
1135,1150,1000,57,1079,44.2,35,233,5.0GT/s,x16
1145,1150,2100,60,952,68.2,65,236,5.0GT/s,x16
1155,1150,2100,57,1066,46.2,35,240,5.0GT/s,x16
1165,1150,300,52,909,18.1,25,239,5.0GT/s,x16
1175,1150,300,53,732,35.2,79,228,5.0GT/s,x16
1185,1150,300,51,765,18.2,54,226,5.0GT/s,x16
1195,1150,300,51,729,29.0,39,245,5.0GT/s,x16
1205,1150,1000,56,764,57.3,40,256,5.0GT/s,x16
1215,1150,2100,61,918,82.1,100,291,5.0GT/s,x16
1225,1150,2100,55,1047,42.0,30,286,5.0GT/s,x16
1235,1150,2100,61,917,71.1,94,266,5.0GT/s,x16
1245,1150,1000,54,1021,32.0,26,262,5.0GT/s,x16
