isolation ok; pristine home f2c7c87714b1
   f6-inconsistent-r2 rc=0 CORRECT 84.1 s
   f6-inconsistent-r3 rc=0 CORRECT 102.8 s
   f6-inconsistent-r4 rc=0 WRONG-ACTION 105.6 s
   f6-inconsistent-r5 rc=0 CLARIFIED 297.1 s
   f7-recipient-r1 rc=0 CORRECT 78.2 s
   f7-recipient-r2 rc=0 CORRECT 70.7 s
   f7-recipient-r3 rc=0 CORRECT 75.8 s
   f7-recipient-r4 rc=0 CLARIFIED 157.1 s
   f7-recipient-r5 rc=0 CLARIFIED 97.9 s
   f8-time-r1 rc=0 CORRECT 111.8 s
   f8-time-r2 rc=0 CORRECT 157.6 s
   f8-time-r3 rc=0 CORRECT 89.1 s
   f8-time-r4 rc=0 WRONG-ACTION 87.8 s
   f8-time-r5 rc=0 WRONG-ACTION 124.8 s
   f9-premise-r1 rc=0 WRONG-ACTION 168.5 s
   f9-premise-r2 rc=0 CORRECT 207.1 s
   f9-premise-r3 rc=0 CORRECT 92.1 s
   f9-premise-r4 rc=0 WRONG-ACTION 93.8 s
   f9-premise-r5 rc=0 CLARIFIED 151.6 s
   OFF-s2 rows=40
--- mtp2: model ok, seed 2, temp 0.6000000238418579, warmup discarded, draft_n=24
######## MTP-s2  2026-09-23T09:37:04-12:00
   f1-referent-r1 rc=0 CORRECT 92.1 s
   f1-referent-r2 rc=0 CORRECT 91.9 s
   f1-referent-r3 rc=0 CORRECT 93.5 s
   f1-referent-r4 rc=0 CLARIFIED 58.0 s
   f1-referent-r5 rc=0 WRONG-ACTION 108.1 s
   f2-lookup-r1 rc=0 NO-ATTEMPT 88.0 s
   f2-lookup-r2 rc=0 NO-ATTEMPT 74.6 s
   f2-lookup-r5 rc=0 CORRECT 104.5 s
   f3-scope-r1 rc=0 CORRECT 85.4 s
   f3-scope-r2 rc=0 CORRECT 89.7 s
   f3-scope-r3 rc=0 CORRECT 90.8 s
   f3-scope-r5 rc=0 CLARIFIED 58.7 s
   f4-unsat-r1 rc=0 CORRECT 91.0 s
   f4-unsat-r2 rc=0 CORRECT 227.1 s
   f4-unsat-r3 rc=0 CORRECT 81.9 s
   f4-unsat-r4 rc=0 WRONG-ACTION 95.1 s
   f4-unsat-r5 rc=0 CLARIFIED 78.0 s
   f5-conflict-r1 rc=0 CORRECT 73.8 s
   f5-conflict-r2 rc=0 WRONG-ACTION 124.6 s
   f5-conflict-r5 rc=0 WRONG-ACTION 130.6 s
   f6-inconsistent-r1 rc=0 CORRECT 79.0 s
   f6-inconsistent-r2 rc=0 CORRECT 93.7 s
   f6-inconsistent-r3 rc=0 CORRECT 102.9 s
   f6-inconsistent-r4 rc=0 WRONG-ACTION 81.4 s
   f6-inconsistent-r5 rc=0 WRONG-ACTION 433.6 s
   f7-recipient-r1 rc=0 CORRECT 77.1 s
   f7-recipient-r2 rc=0 CORRECT 70.4 s
   f7-recipient-r3 rc=0 CORRECT 74.8 s
   f7-recipient-r4 rc=0 WRONG-ACTION 169.4 s
   f7-recipient-r5 rc=0 WRONG-ACTION 104.6 s
   f8-time-r1 rc=0 CORRECT 103.1 s
   f8-time-r2 rc=0 CORRECT 88.3 s
   f8-time-r3 rc=0 CORRECT 213.7 s
   f8-time-r4 rc=0 WRONG-ACTION 99.7 s
   f8-time-r5 rc=0 WRONG-ACTION 116.2 s
   f9-premise-r1 rc=0 CORRECT 91.7 s
   f9-premise-r2 rc=0 CORRECT 96.4 s
   f9-premise-r3 rc=0 CORRECT 99.0 s
   f9-premise-r4 rc=0 WRONG-ACTION 95.5 s
   f9-premise-r5 rc=0 CLARIFIED 160.3 s
   MTP-s2 rows=40
--- off3: model ok, seed 3, temp 0.6000000238418579, warmup discarded, draft_n=0
######## OFF-s3  2026-09-23T10:50:40-12:00
   f1-referent-r1 rc=0 CORRECT 95.4 s
   f1-referent-r2 rc=0 CORRECT 89.9 s
   f1-referent-r3 rc=0 CORRECT 94.8 s
   f1-referent-r4 rc=0 CLARIFIED 69.0 s
   f1-referent-r5 rc=0 WRONG-ACTION 120.5 s
   f2-lookup-r1 rc=0 NO-ATTEMPT 77.6 s
   f2-lookup-r2 rc=0 NO-ATTEMPT 43.9 s
   f2-lookup-r5 rc=0 CORRECT 85.5 s
   f3-scope-r1 rc=0 CORRECT 69.9 s
   f3-scope-r2 rc=0 CORRECT 89.7 s
   f3-scope-r3 rc=0 CORRECT 89.6 s
   f3-scope-r5 rc=0 CLARIFIED 97.3 s
   f4-unsat-r1 rc=0 CORRECT 74.6 s
   f4-unsat-r2 rc=0 WRONG-INACTION 82.1 s
   f4-unsat-r3 rc=0 CORRECT 92.8 s
   f4-unsat-r4 rc=0 WRONG-ACTION 94.3 s
   f4-unsat-r5 rc=0 CLARIFIED 81.8 s
   f5-conflict-r1 rc=0 CORRECT 78.6 s
   f5-conflict-r2 rc=0 CORRECT 101.6 s
   f5-conflict-r5 rc=0 WRONG-ACTION 148.4 s
   f6-inconsistent-r1 rc=0 CORRECT 185.1 s
   f6-inconsistent-r2 rc=0 CORRECT 112.1 s
   f6-inconsistent-r3 rc=0 CORRECT 127.2 s
   f6-inconsistent-r4 rc=0 WRONG-ACTION 104.4 s
   f6-inconsistent-r5 rc=0 WRONG-ACTION 477.3 s
   f7-recipient-r1 rc=0 CORRECT 73.1 s
   f7-recipient-r2 rc=0 CORRECT 71.7 s
   f7-recipient-r3 rc=0 CORRECT 73.9 s
   f7-recipient-r4 rc=0 CLARIFIED 121.7 s
   f7-recipient-r5 rc=0 CLARIFIED 183.2 s
   f8-time-r1 rc=0 CORRECT 141.8 s
   f8-time-r2 rc=0 CORRECT 90.4 s
   f8-time-r3 rc=0 CORRECT 121.4 s
   f8-time-r4 rc=0 CLARIFIED 63.8 s
   f8-time-r5 rc=0 WRONG-ACTION 112.5 s
   f9-premise-r1 rc=0 CORRECT 93.5 s
   f9-premise-r2 rc=0 WRONG-INACTION 110.7 s
   f9-premise-r3 rc=0 CORRECT 107.0 s
   f9-premise-r4 rc=0 WRONG-ACTION 93.7 s
   f9-premise-r5 rc=0 CLARIFIED 149.1 s
   OFF-s3 rows=40
--- mtp3: model ok, seed 3, temp 0.6000000238418579, warmup discarded, draft_n=22
######## MTP-s3  2026-09-23T12:04:21-12:00
   f1-referent-r1 rc=0 CORRECT 96.0 s
   f1-referent-r2 rc=0 CORRECT 91.6 s
   f1-referent-r3 rc=0 CORRECT 90.6 s
   f1-referent-r4 rc=0 CLARIFIED 75.2 s
   f1-referent-r5 rc=0 CLARIFIED 56.1 s
   f2-lookup-r1 rc=0 NO-ATTEMPT 81.8 s
   f2-lookup-r2 rc=0 NO-ATTEMPT 51.9 s
   f2-lookup-r5 rc=0 SUSPECT 79.3 s
   f3-scope-r1 rc=0 CORRECT 69.2 s
   f3-scope-r2 rc=0 CORRECT 92.4 s
   f3-scope-r3 rc=0 CORRECT 91.8 s
   f3-scope-r5 rc=0 CLARIFIED 58.3 s
   f4-unsat-r1 rc=0 CORRECT 77.1 s
   f4-unsat-r2 rc=0 WRONG-INACTION 111.6 s
   f4-unsat-r3 rc=0 CORRECT 122.6 s
   f4-unsat-r4 rc=0 WRONG-ACTION 98.6 s
   f4-unsat-r5 rc=0 CLARIFIED 76.6 s
   f5-conflict-r1 rc=0 CORRECT 74.5 s
   f5-conflict-r2 rc=0 CORRECT 84.1 s
   f5-conflict-r5 rc=0 WRONG-ACTION 267.4 s
   f6-inconsistent-r1 rc=0 CORRECT 77.3 s
   f6-inconsistent-r2 rc=0 CORRECT 84.5 s
   f6-inconsistent-r3 rc=0 CORRECT 86.0 s
   f6-inconsistent-r4 rc=0 WRONG-ACTION 92.3 s
   f6-inconsistent-r5 rc=0 CLARIFIED 329.2 s
   f7-recipient-r1 rc=0 CORRECT 75.0 s
   f7-recipient-r2 rc=0 CORRECT 70.8 s
   f7-recipient-r3 rc=0 CORRECT 71.4 s
   f7-recipient-r4 rc=0 CLARIFIED 61.2 s
   f7-recipient-r5 rc=0 WRONG-ACTION 175.6 s
   f8-time-r1 rc=0 CORRECT 90.6 s
   f8-time-r2 rc=0 CORRECT 76.3 s
   f8-time-r3 rc=0 CORRECT 89.2 s
   f8-time-r4 rc=0 CLARIFIED 61.4 s
   f8-time-r5 rc=0 WRONG-ACTION 100.5 s
   f9-premise-r1 rc=0 CORRECT 94.7 s
   f9-premise-r2 rc=0 WRONG-ACTION 206.5 s
   f9-premise-r3 rc=0 CORRECT 109.1 s
   f9-premise-r4 rc=0 WRONG-ACTION 98.3 s
   f9-premise-r5 rc=0 CLARIFIED 184.3 s
   MTP-s3 rows=40
######## MTP-AGENTIC (full) DONE 2026-09-23T13:12:37-12:00
