model	ctx	kv	status	vram_used_B	server_B	load_s
bonsai	131072	f16	OK	16907710464	14246268928	5
bonsai	262144	f16	DIED	0	0	3
gemma	262144	f16	OK	13788766208	13262155776	28
bonsai	32768	f16	OK	11675205632	9975185408	8
bonsai	65536	f16	OK	13843574784	12139356160	3
gemma	32768	f16	OK	9928507392	8207065088	2
gemma	65536	f16	OK	10497814528	8826703872	2
