epoch,power_w,junction_c,sclk
1789138584,51,36,1794Mhz
1789138614,262,72,2531Mhz
1789138644,329,77,3050Mhz
1789138674,309,75,3058Mhz
1789138704,329,82,2827Mhz
1789138734,328,84,2932Mhz
1789138764,312,82,2857Mhz
1789138794,327,82,2859Mhz
1789138824,330,79,3029Mhz
1789138855,52,47,1270Mhz
1789138885,330,79,3025Mhz
1789138915,329,79,3047Mhz
1789138945,334,85,2951Mhz
