epoch,power_w,junction_c,sclk
1789140394,55,44,998Mhz
1789140424,57,47,178Mhz
1789140454,344,79,2771Mhz
1789140484,331,84,2763Mhz
1789140514,329,86,2961Mhz
1789140544,306,82,3143Mhz
1789140574,292,80,2901Mhz
1789140604,316,77,2983Mhz
1789140634,329,79,2983Mhz
1789140664,330,79,2943Mhz
1789140694,330,79,2988Mhz
1789140724,325,86,2945Mhz
1789140754,330,79,2976Mhz
1789140784,330,79,2958Mhz
1789140814,329,78,2987Mhz
