epoch,power_w,junction_c,sclk
1789139989,57,46,79Mhz
1789140019,328,81,2842Mhz
1789140049,329,84,2842Mhz
1789140079,297,80,2912Mhz
1789140109,351,86,2822Mhz
1789140139,330,79,2958Mhz
1789140169,330,79,2961Mhz
1789140199,325,85,2904Mhz
1789140229,206,61,2874Mhz
1789140259,328,79,2994Mhz
1789140289,325,79,2676Mhz
1789140319,330,79,2971Mhz
1789140349,329,83,2837Mhz
1789140379,329,77,3010Mhz
