epoch,power_w,junction_c,sclk
1789139584,58,51,1023Mhz
1789139614,60,49,1975Mhz
1789139645,330,80,2971Mhz
1789139675,331,84,2751Mhz
1789139705,327,83,2909Mhz
1789139735,350,87,3089Mhz
1789139765,330,86,2771Mhz
1789139795,336,86,2753Mhz
1789139825,60,49,123Mhz
1789139855,334,86,2818Mhz
1789139885,329,79,2992Mhz
1789139915,261,85,2919Mhz
1789139945,325,83,3141Mhz
1789139975,329,77,3015Mhz
