epoch,power_w,junction_c,sclk
1789141364,54,42,1630Mhz
1789141394,345,77,2762Mhz
1789141424,329,78,3011Mhz
1789141454,126,61,2627Mhz
1789141484,329,83,2934Mhz
1789141514,335,85,2797Mhz
1789141544,330,84,2891Mhz
1789141574,322,84,3069Mhz
1789141604,329,79,2988Mhz
1789141634,330,85,2926Mhz
1789141664,331,84,2873Mhz
1789141694,328,83,2936Mhz
1789141724,330,85,2866Mhz
1789141754,329,79,2972Mhz
1789141784,330,85,3014Mhz
1789141814,132,61,1597Mhz
