### digest of server_nographs.log  (original: 18609 bytes, 169 lines)
--- header: build / model / device ---
7.22.570.672 I srv    load_model: initializing, n_slots = 2, n_ctx_slot = 260096, kv_unified = 'true'
--- graph / perf / timing evidence ---
      1 7.45.574.567 I slot print_timing: id  0 | task 0 | n_decoded =    298, tg =  21.33 t/s, tg_3s =  22.10 t/s
      1 7.42.542.851 I slot print_timing: id  0 | task 0 | n_decoded =    231, tg =  21.12 t/s, tg_3s =  22.69 t/s
      1 7.39.457.119 I slot print_timing: id  0 | task 0 | n_decoded =    161, tg =  20.50 t/s, tg_3s =  19.52 t/s
      1 7.36.433.943 I slot print_timing: id  0 | task 0 | n_decoded =    102, tg =  21.12 t/s, tg_3s =  21.12 t/s
      1 12.53.348.981 I slot print_timing: id  0 | task 2034 |    graphs reused =       2672
      1 12.53.348.980 I slot print_timing: id  0 | task 2034 |       total time =   79971.86 ms /  1902 tokens
      1 12.53.348.979 I slot print_timing: id  0 | task 2034 |        eval time =   79775.77 ms /  1898 tokens (   42.03 ms per token,    23.79 tokens per second)
      1 12.53.348.975 I slot print_timing: id  0 | task 2034 | prompt eval time =     196.09 ms /     4 tokens (   49.02 ms per token,    20.40 tokens per second)
      1 12.51.458.407 I slot print_timing: id  0 | task 2034 | n_decoded =   1850, tg =  23.75 t/s, tg_3s =  25.35 t/s
      1 12.48.381.199 I slot print_timing: id  0 | task 2034 | n_decoded =   1772, tg =  23.69 t/s, tg_3s =  25.16 t/s
      1 12.45.280.866 I slot print_timing: id  0 | task 2034 | n_decoded =   1694, tg =  23.62 t/s, tg_3s =  22.51 t/s
      1 12.42.214.937 I slot print_timing: id  0 | task 2034 | n_decoded =   1625, tg =  23.67 t/s, tg_3s =  25.37 t/s
      1 12.39.139.991 I slot print_timing: id  0 | task 2034 | n_decoded =   1547, tg =  23.59 t/s, tg_3s =  23.61 t/s
--- warnings + errors ---
      1 7.22.584.058 W spec common_specu: backend offload failed for seq_id=1; using CPU sampler
      1 7.22.584.055 W spec common_specu: backend offload failed for seq_id=0; using CPU sampler
      1 7.07.442.786 W internal AllReduce init failed (n_devices != 2?); falling back to meta-backend butterfly
      1 7.04.960.360 W internal AllReduce init failed (n_devices != 2?); falling back to meta-backend butterfly
