alloc_n,requested_bytes,rt_free_bytes,rt_used_delta_bytes,sysfs_used_bytes,sysfs_used_delta_bytes,charge_ratio
104,1199570944,11979197440,4798283776,3994787840,1201917952,4.0000
105,1211105280,11933060096,4844421120,4006342656,1213472768,4.0000
106,1222639616,11886922752,4890558464,4017901568,1225031680,4.0000
107,1234173952,11840785408,4936695808,4029456384,1236586496,4.0000
108,1245708288,11794648064,4982833152,4041015296,1248145408,4.0000
109,1257242624,11748510720,5028970496,4052570112,1259700224,4.0000
110,1268776960,11693984768,5083496448,4064129024,1271259136,4.0066
111,1280311296,11647847424,5129633792,4075683840,1282813952,4.0066
112,1291845632,11610098688,5167382528,4087242752,1294372864,4.0000
113,1303379968,11524115456,5253365760,4098797568,1305927680,4.0306
114,1314914304,11477978112,5299503104,4110356480,1317486592,4.0303
115,1326448640,11471686656,5305794560,4121911296,1329041408,4.0000
116,1337982976,11425549312,5351931904,4133470208,1340600320,4.0000
117,1349517312,11379411968,5398069248,4145025024,1352155136,4.0000
118,1361051648,11333274624,5444206592,4156583936,1363714048,4.0000
119,1372585984,11287137280,5490343936,4168138752,1375268864,4.0000
120,1384120320,11240999936,5536481280,4179697664,1386827776,4.0000
121,1395654656,11194862592,5582618624,4191252480,1398382592,4.0000
122,1407188992,11148725248,5628755968,4202811392,1409941504,4.0000
123,1418723328,11102587904,5674893312,4214366208,1421496320,4.0000
124,1430257664,11016604672,5760876544,4225925120,1433055232,4.0279
125,1441792000,10970467328,5807013888,4237479936,1444610048,4.0276
126,1453326336,10964175872,5813305344,4249038848,1456168960,4.0000
127,1464860672,10918038528,5859442688,4260593664,1467723776,4.0000
128,1476395008,10871901184,5905580032,4272152576,1479282688,4.0000
129,1487929344,10825763840,5951717376,4283707392,1490837504,4.0000
130,1499463680,10779626496,5997854720,4295266304,1502396416,4.0000
131,1510998016,10733489152,6043992064,4306821120,1513951232,4.0000
132,1522532352,10687351808,6090129408,4318380032,1525510144,4.0000
133,1534066688,10641214464,6136266752,4329934848,1537064960,4.0000
134,1545601024,10595077120,6182404096,4341493760,1548623872,4.0000
135,1557135360,10548939776,6228541440,4353048576,1560178688,4.0000
136,1568669696,10462956544,6314524672,4364607488,1571737600,4.0254
137,1580204032,10416819200,6360662016,4376162304,1583292416,4.0252
138,1591738368,10410527744,6366953472,4387721216,1594851328,4.0000
139,1603272704,10364390400,6413090816,4399276032,1606406144,4.0000
140,1614807040,10318253056,6459228160,4410834944,1617965056,4.0000
141,1626341376,10263727104,6513754112,4422389760,1629519872,4.0052
142,1637875712,10217589760,6559891456,4433948672,1641078784,4.0051
143,1649410048,10179841024,6597640192,4445503488,1652633600,4.0000
144,1660944384,10133703680,6643777536,4457062400,1664192512,4.0000
145,1672478720,10087566336,6689914880,4468617216,1675747328,4.0000
146,1684013056,10001583104,6775898112,4480176128,1687306240,4.0237
147,1695547392,9955445760,6822035456,4491730944,1698861056,4.0235
148,1707081728,9909308416,6868172800,4503289856,1710419968,4.0233
149,1718616064,9903016960,6874464256,4514844672,1721974784,4.0000
150,1730150400,9856879616,6920601600,4526403584,1733533696,4.0000
151,1741684736,9810742272,6966738944,4537958400,1745088512,4.0000
152,1753219072,9764604928,7012876288,4549517312,1756647424,4.0000
153,1764753408,9718467584,7059013632,4561072128,1768202240,4.0000
154,1776287744,9672330240,7105150976,4572631040,1779761152,4.0000
155,1787822080,9626192896,7151288320,4584185856,1791315968,4.0000
156,1799356416,9580055552,7197425664,4595744768,1802874880,4.0000
157,1810890752,9533918208,7243563008,4607299584,1814429696,4.0000
158,1822425088,9487780864,7289700352,4618858496,1825988608,4.0000
159,1833959424,9401797632,7375683584,4630413312,1837543424,4.0217
160,1845493760,9355660288,7421820928,4641972224,1849102336,4.0216
161,1857028096,9349368832,7428112384,4653527040,1860657152,4.0000
162,1868562432,9303231488,7474249728,4665085952,1872216064,4.0000
163,1880096768,9257094144,7520387072,4676640768,1883770880,4.0000
164,1891631104,9210956800,7566524416,4688199680,1895329792,4.0000
