alloc_n,requested_bytes,rt_free_bytes,rt_used_delta_bytes,sysfs_used_bytes,sysfs_used_delta_bytes,charge_ratio
1,4194304,16760704000,16777216,2776768512,4202496,4.0000
2,8388608,16743926784,33554432,2780971008,8404992,4.0000
3,12582912,16727149568,50331648,2785173504,12607488,4.0000
4,16777216,16710372352,67108864,2789376000,16809984,4.0000
5,20971520,16693595136,83886080,2793578496,21012480,4.0000
6,25165824,16676817920,100663296,2797780992,25214976,4.0000
7,29360128,16660040704,117440512,2801983488,29417472,4.0000
8,33554432,16643263488,134217728,2806185984,33619968,4.0000
9,37748736,16626486272,150994944,2810388480,37822464,4.0000
10,41943040,16609709056,167772160,2814590976,42024960,4.0000
11,46137344,16592931840,184549376,2818793472,46227456,4.0000
12,50331648,16576154624,201326592,2822995968,50429952,4.0000
13,54525952,16559377408,218103808,2827198464,54632448,4.0000
14,58720256,16542600192,234881024,2831400960,58834944,4.0000
15,62914560,16525822976,251658240,2835603456,63037440,4.0000
16,67108864,16509045760,268435456,2839805952,67239936,4.0000
17,71303168,16492268544,285212672,2844008448,71442432,4.0000
18,75497472,16475491328,301989888,2848210944,75644928,4.0000
19,79691776,16458714112,318767104,2852413440,79847424,4.0000
20,83886080,16441936896,335544320,2856615936,84049920,4.0000
21,88080384,16425159680,352321536,2860818432,88252416,4.0000
22,92274688,16408382464,369098752,2865020928,92454912,4.0000
23,96468992,16391605248,385875968,2869223424,96657408,4.0000
24,100663296,16374828032,402653184,2873425920,100859904,4.0000
25,104857600,16318204928,459276288,2877628416,105062400,4.3800
26,109051904,16301427712,476053504,2881830912,109264896,4.3654
27,113246208,16284650496,492830720,2886033408,113467392,4.3519
28,117440512,16267873280,509607936,2890235904,117669888,4.3393
29,121634816,16251096064,526385152,2894438400,121872384,4.3276
30,125829120,16234318848,543162368,2898640896,126074880,4.3167
31,130023424,16257387520,520093696,2902843392,130277376,4.0000
32,134217728,16240610304,536870912,2907045888,134479872,4.0000
33,138412032,16223833088,553648128,2911248384,138682368,4.0000
34,142606336,16207055872,570425344,2915450880,142884864,4.0000
35,146800640,16190278656,587202560,2919653376,147087360,4.0000
36,150994944,16173501440,603979776,2923855872,151289856,4.0000
37,155189248,16156724224,620756992,2928058368,155492352,4.0000
38,159383552,16139947008,637534208,2932260864,159694848,4.0000
39,163577856,16123169792,654311424,2936463360,163897344,4.0000
40,167772160,16106392576,671088640,2940665856,168099840,4.0000
41,171966464,16089615360,687865856,2944868352,172302336,4.0000
42,176160768,16072838144,704643072,2949070848,176504832,4.0000
43,180355072,16056060928,721420288,2953273344,180707328,4.0000
44,184549376,16039283712,738197504,2957475840,184909824,4.0000
45,188743680,16022506496,754974720,2961678336,189112320,4.0000
46,192937984,16005729280,771751936,2965880832,193314816,4.0000
47,197132288,15988952064,788529152,2970083328,197517312,4.0000
48,201326592,15972174848,805306368,2974285824,201719808,4.0000
49,205520896,15955397632,822083584,2978488320,205922304,4.0000
50,209715200,15938620416,838860800,2982690816,210124800,4.0000
51,213909504,15921843200,855638016,2986893312,214327296,4.0000
52,218103808,15905065984,872415232,2991095808,218529792,4.0000
53,222298112,15888288768,889192448,2995298304,222732288,4.0000
54,226492416,15863122944,914358272,2999500800,226934784,4.0370
55,230686720,15846345728,931135488,3003703296,231137280,4.0364
56,234881024,15787625472,989855744,3007905792,235339776,4.2143
57,239075328,15770848256,1006632960,3012108288,239542272,4.2105
58,243269632,15754071040,1023410176,3016310784,243744768,4.2069
59,247463936,15747779584,1029701632,3020513280,247947264,4.1610
60,251658240,15731002368,1046478848,3024715776,252149760,4.1583
61,255852544,15714225152,1063256064,3028918272,256352256,4.1557
62,260046848,15737293824,1040187392,3033120768,260554752,4.0000
63,264241152,15720516608,1056964608,3037323264,264757248,4.0000
64,268435456,15703739392,1073741824,3041525760,268959744,4.0000
65,272629760,15686962176,1090519040,3045728256,273162240,4.0000
66,276824064,15670184960,1107296256,3049930752,277364736,4.0000
67,281018368,15653407744,1124073472,3054133248,281567232,4.0000
68,285212672,15636630528,1140850688,3058335744,285769728,4.0000
69,289406976,15619853312,1157627904,3062538240,289972224,4.0000
70,293601280,15603076096,1174405120,3066740736,294174720,4.0000
71,297795584,15586298880,1191182336,3070943232,298377216,4.0000
72,301989888,15569521664,1207959552,3075145728,302579712,4.0000
73,306184192,15552744448,1224736768,3079348224,306782208,4.0000
74,310378496,15535967232,1241513984,3083550720,310984704,4.0000
75,314572800,15519190016,1258291200,3087753216,315187200,4.0000
76,318767104,15502412800,1275068416,3091955712,319389696,4.0000
77,322961408,15485635584,1291845632,3096158208,323592192,4.0000
78,327155712,15468858368,1308622848,3100360704,327794688,4.0000
79,331350016,15452081152,1325400064,3104563200,331997184,4.0000
80,335544320,15435303936,1342177280,3108765696,336199680,4.0000
81,339738624,15418526720,1358954496,3112968192,340402176,4.0000
82,343932928,15401749504,1375731712,3117170688,344604672,4.0000
83,348127232,15384972288,1392508928,3121373184,348807168,4.0000
84,352321536,15368195072,1409286144,3125575680,353009664,4.0000
85,356515840,15351417856,1426063360,3129778176,357212160,4.0000
86,360710144,15334640640,1442840576,3133980672,361414656,4.0000
87,364904448,15278017536,1499463680,3138183168,365617152,4.1092
88,369098752,15261240320,1516240896,3142385664,369819648,4.1080
89,373293056,15244463104,1533018112,3146588160,374022144,4.1067
90,377487360,15227685888,1549795328,3150790656,378224640,4.1056
91,381681664,15210908672,1566572544,3154993152,382427136,4.1044
92,385875968,15233977344,1543503872,3159195648,386629632,4.0000
93,390070272,15217200128,1560281088,3163398144,390832128,4.0000
94,394264576,15200422912,1577058304,3167600640,395034624,4.0000
95,398458880,15183645696,1593835520,3171803136,399237120,4.0000
96,402653184,15166868480,1610612736,3176005632,403439616,4.0000
97,406847488,15150091264,1627389952,3180208128,407642112,4.0000
98,411041792,15133314048,1644167168,3184410624,411844608,4.0000
99,415236096,15116536832,1660944384,3188613120,416047104,4.0000
100,419430400,15099759616,1677721600,3192815616,420249600,4.0000
101,423624704,15082982400,1694498816,3197018112,424452096,4.0000
102,427819008,15066205184,1711276032,3201220608,428654592,4.0000
103,432013312,15049427968,1728053248,3205423104,432857088,4.0000
104,436207616,15032650752,1744830464,3209625600,437059584,4.0000
105,440401920,15015873536,1761607680,3213828096,441262080,4.0000
106,444596224,14999096320,1778384896,3218030592,445464576,4.0000
107,448790528,14982319104,1795162112,3222233088,449667072,4.0000
108,452984832,14965541888,1811939328,3226435584,453869568,4.0000
109,457179136,14948764672,1828716544,3230638080,458072064,4.0000
110,461373440,14931987456,1845493760,3234840576,462274560,4.0000
111,465567744,14915210240,1862270976,3239043072,466477056,4.0000
112,469762048,14898433024,1879048192,3243245568,470679552,4.0000
113,473956352,14881655808,1895825408,3247448064,474882048,4.0000
114,478150656,14864878592,1912602624,3251650560,479084544,4.0000
115,482344960,14848101376,1929379840,3255853056,483287040,4.0000
116,486539264,14831324160,1946157056,3260055552,487489536,4.0000
117,490733568,14774701056,2002780160,3264258048,491692032,4.0812
118,494927872,14757923840,2019557376,3268460544,495894528,4.0805
119,499122176,14741146624,2036334592,3272663040,500097024,4.0798
120,503316480,14724369408,2053111808,3276865536,504299520,4.0792
121,507510784,14707592192,2069889024,3281068032,508502016,4.0785
122,511705088,14690814976,2086666240,3285270528,512704512,4.0779
123,515899392,14713883648,2063597568,3289473024,516907008,4.0000
124,520093696,14697106432,2080374784,3293675520,521109504,4.0000
125,524288000,14680329216,2097152000,3297878016,525312000,4.0000
126,528482304,14663552000,2113929216,3302080512,529514496,4.0000
127,532676608,14646774784,2130706432,3306283008,533716992,4.0000
128,536870912,14629997568,2147483648,3310485504,537919488,4.0000
129,541065216,14613220352,2164260864,3314688000,542121984,4.0000
130,545259520,14596443136,2181038080,3318890496,546324480,4.0000
131,549453824,14579665920,2197815296,3323092992,550526976,4.0000
132,553648128,14562888704,2214592512,3327295488,554729472,4.0000
133,557842432,14546111488,2231369728,3331497984,558931968,4.0000
134,562036736,14529334272,2248146944,3335700480,563134464,4.0000
135,566231040,14512557056,2264924160,3339902976,567336960,4.0000
136,570425344,14495779840,2281701376,3344105472,571539456,4.0000
137,574619648,14479002624,2298478592,3348307968,575741952,4.0000
138,578813952,14453836800,2323644416,3352510464,579944448,4.0145
139,583008256,14437059584,2340421632,3356712960,584146944,4.0144
140,587202560,14420282368,2357198848,3360915456,588349440,4.0143
141,591396864,14403505152,2373976064,3365117952,592551936,4.0142
142,595591168,14386727936,2390753280,3369320448,596754432,4.0141
143,599785472,14378339328,2399141888,3373522944,600956928,4.0000
144,603979776,14361562112,2415919104,3377725440,605159424,4.0000
145,608174080,14344784896,2432696320,3381927936,609361920,4.0000
146,612368384,14328007680,2449473536,3386130432,613564416,4.0000
147,616562688,14311230464,2466250752,3390332928,617766912,4.0000
148,620756992,14254607360,2522873856,3394535424,621969408,4.0642
149,624951296,14237830144,2539651072,3398737920,626171904,4.0638
150,629145600,14221052928,2556428288,3402940416,630374400,4.0633
151,633339904,14204275712,2573205504,3407142912,634576896,4.0629
152,637534208,14187498496,2589982720,3411345408,638779392,4.0625
153,641728512,14170721280,2606759936,3415547904,642981888,4.0621
154,645922816,14193789952,2583691264,3419750400,647184384,4.0000
155,650117120,14177012736,2600468480,3423952896,651386880,4.0000
156,654311424,14160235520,2617245696,3428155392,655589376,4.0000
157,658505728,14143458304,2634022912,3432357888,659791872,4.0000
158,662700032,14126681088,2650800128,3436560384,663994368,4.0000
159,666894336,14109903872,2667577344,3440762880,668196864,4.0000
160,671088640,14093126656,2684354560,3444965376,672399360,4.0000
161,675282944,14076349440,2701131776,3449167872,676601856,4.0000
162,679477248,14059572224,2717908992,3453370368,680804352,4.0000
163,683671552,14042795008,2734686208,3457572864,685006848,4.0000
164,687865856,14026017792,2751463424,3461775360,689209344,4.0000
165,692060160,14009240576,2768240640,3465977856,693411840,4.0000
166,696254464,13992463360,2785017856,3470180352,697614336,4.0000
167,700448768,13975686144,2801795072,3474382848,701816832,4.0000
168,704643072,13958908928,2818572288,3478585344,706019328,4.0000
169,708837376,13942131712,2835349504,3482787840,710221824,4.0000
170,713031680,13925354496,2852126720,3486990336,714424320,4.0000
171,717225984,13908577280,2868903936,3491192832,718626816,4.0000
172,721420288,13891800064,2885681152,3495395328,722829312,4.0000
173,725614592,13875022848,2902458368,3499597824,727031808,4.0000
174,729808896,13858245632,2919235584,3503800320,731234304,4.0000
175,734003200,13841468416,2936012800,3508002816,735436800,4.0000
176,738197504,13824691200,2952790016,3512205312,739639296,4.0000
177,742391808,13807913984,2969567232,3516407808,743841792,4.0000
178,746586112,13791136768,2986344448,3520610304,748044288,4.0000
179,750780416,13734513664,3042967552,3524812800,752246784,4.0531
180,754974720,13717736448,3059744768,3529015296,756449280,4.0528
181,759169024,13700959232,3076521984,3533217792,760651776,4.0525
182,763363328,13684182016,3093299200,3537420288,764854272,4.0522
183,767557632,13667404800,3110076416,3541622784,769056768,4.0519
184,771751936,13690473472,3087007744,3545825280,773259264,4.0000
185,775946240,13673696256,3103784960,3550027776,777461760,4.0000
186,780140544,13656919040,3120562176,3554230272,781664256,4.0000
187,784334848,13640141824,3137339392,3558432768,785866752,4.0000
188,788529152,13623364608,3154116608,3562635264,790069248,4.0000
189,792723456,13606587392,3170893824,3566837760,794271744,4.0000
190,796917760,13589810176,3187671040,3571040256,798474240,4.0000
191,801112064,13573032960,3204448256,3575242752,802676736,4.0000
192,805306368,13556255744,3221225472,3579445248,806879232,4.0000
193,809500672,13539478528,3238002688,3583647744,811081728,4.0000
194,813694976,13522701312,3254779904,3587850240,815284224,4.0000
195,817889280,13505924096,3271557120,3592052736,819486720,4.0000
196,822083584,13489146880,3288334336,3596255232,823689216,4.0000
197,826277888,13472369664,3305111552,3600457728,827891712,4.0000
198,830472192,13455592448,3321888768,3604660224,832094208,4.0000
199,834666496,13438815232,3338665984,3608862720,836296704,4.0000
200,838860800,13422038016,3355443200,3613065216,840499200,4.0000
201,843055104,13405260800,3372220416,3617267712,844701696,4.0000
202,847249408,13388483584,3388997632,3621470208,848904192,4.0000
203,851443712,13371706368,3405774848,3625672704,853106688,4.0000
204,855638016,13354929152,3422552064,3629875200,857309184,4.0000
205,859832320,13338151936,3439329280,3634077696,861511680,4.0000
206,864026624,13321374720,3456106496,3638280192,865714176,4.0000
207,868220928,13304597504,3472883712,3642482688,869916672,4.0000
208,872415232,13287820288,3489660928,3646685184,874119168,4.0000
209,876609536,13271043072,3506438144,3650887680,878321664,4.0000
210,880803840,13214419968,3563061248,3655090176,882524160,4.0452
211,884998144,13197642752,3579838464,3659292672,886726656,4.0450
212,889192448,13180865536,3596615680,3663495168,890929152,4.0448
213,893386752,13164088320,3613392896,3667697664,895131648,4.0446
214,897581056,13147311104,3630170112,3671900160,899334144,4.0444
215,901775360,13170379776,3607101440,3676102656,903536640,4.0000
216,905969664,13153602560,3623878656,3680305152,907739136,4.0000
217,910163968,13136825344,3640655872,3684507648,911941632,4.0000
218,914358272,13120048128,3657433088,3688710144,916144128,4.0000
219,918552576,13103270912,3674210304,3692912640,920346624,4.0000
220,922746880,13086493696,3690987520,3697115136,924549120,4.0000
221,926941184,13069716480,3707764736,3701317632,928751616,4.0000
222,931135488,13044550656,3732930560,3705520128,932954112,4.0090
223,935329792,13027773440,3749707776,3709722624,937156608,4.0090
224,939524096,13010996224,3766484992,3713925120,941359104,4.0089
225,943718400,12994219008,3783262208,3718127616,945561600,4.0089
226,947912704,12977441792,3800039424,3722330112,949764096,4.0088
227,952107008,12960664576,3816816640,3726532608,953966592,4.0088
228,956301312,12952275968,3825205248,3730735104,958169088,4.0000
229,960495616,12935498752,3841982464,3734937600,962371584,4.0000
230,964689920,12918721536,3858759680,3739140096,966574080,4.0000
231,968884224,12901944320,3875536896,3743342592,970776576,4.0000
232,973078528,12885167104,3892314112,3747545088,974979072,4.0000
233,977272832,12868389888,3909091328,3751747584,979181568,4.0000
234,981467136,12851612672,3925868544,3755950080,983384064,4.0000
235,985661440,12834835456,3942645760,3760152576,987586560,4.0000
236,989855744,12818058240,3959422976,3764355072,991789056,4.0000
237,994050048,12801281024,3976200192,3768557568,995991552,4.0000
238,998244352,12784503808,3992977408,3772760064,1000194048,4.0000
239,1002438656,12767726592,4009754624,3776962560,1004396544,4.0000
240,1006632960,12711103488,4066377728,3781165056,1008599040,4.0396
241,1010827264,12694326272,4083154944,3785367552,1012801536,4.0394
242,1015021568,12677549056,4099932160,3789570048,1017004032,4.0393
243,1019215872,12660771840,4116709376,3793772544,1021206528,4.0391
244,1023410176,12643994624,4133486592,3797975040,1025409024,4.0389
245,1027604480,12627217408,4150263808,3802177536,1029611520,4.0388
246,1031798784,12650286080,4127195136,3806380032,1033814016,4.0000
247,1035993088,12633508864,4143972352,3810582528,1038016512,4.0000
248,1040187392,12616731648,4160749568,3814785024,1042219008,4.0000
249,1044381696,12599954432,4177526784,3818987520,1046421504,4.0000
250,1048576000,12583177216,4194304000,3823190016,1050624000,4.0000
251,1052770304,12566400000,4211081216,3827392512,1054826496,4.0000
252,1056964608,12549622784,4227858432,3831595008,1059028992,4.0000
253,1061158912,12532845568,4244635648,3835797504,1063231488,4.0000
254,1065353216,12516068352,4261412864,3840000000,1067433984,4.0000
255,1069547520,12499291136,4278190080,3844206592,1071640576,4.0000
256,1073741824,12482513920,4294967296,3848409088,1075843072,4.0000
257,1077936128,12465736704,4311744512,3852611584,1080045568,4.0000
258,1082130432,12448959488,4328521728,3856814080,1084248064,4.0000
259,1086324736,12432182272,4345298944,3861016576,1088450560,4.0000
260,1090519040,12415405056,4362076160,3865219072,1092653056,4.0000
261,1094713344,12398627840,4378853376,3869421568,1096855552,4.0000
262,1098907648,12381850624,4395630592,3873624064,1101058048,4.0000
263,1103101952,12365073408,4412407808,3877826560,1105260544,4.0000
264,1107296256,12348296192,4429185024,3882029056,1109463040,4.0000
265,1111490560,12331518976,4445962240,3886231552,1113665536,4.0000
266,1115684864,12314741760,4462739456,3890434048,1117868032,4.0000
267,1119879168,12297964544,4479516672,3894636544,1122070528,4.0000
268,1124073472,12281187328,4496293888,3898839040,1126273024,4.0000
269,1128267776,12264410112,4513071104,3903041536,1130475520,4.0000
270,1132462080,12247632896,4529848320,3907244032,1134678016,4.0000
271,1136656384,12191009792,4586471424,3911446528,1138880512,4.0351
272,1140850688,12174232576,4603248640,3915649024,1143083008,4.0349
273,1145044992,12157455360,4620025856,3919851520,1147285504,4.0348
274,1149239296,12140678144,4636803072,3924054016,1151488000,4.0347
275,1153433600,12123900928,4653580288,3928256512,1155690496,4.0345
276,1157627904,12146969600,4630511616,3932459008,1159892992,4.0000
277,1161822208,12130192384,4647288832,3936661504,1164095488,4.0000
278,1166016512,12113415168,4664066048,3940864000,1168297984,4.0000
279,1170210816,12096637952,4680843264,3945066496,1172500480,4.0000
280,1174405120,12079860736,4697620480,3949268992,1176702976,4.0000
281,1178599424,12063083520,4714397696,3953471488,1180905472,4.0000
