alloc_n,requested_bytes,rt_free_bytes,rt_used_delta_bytes,sysfs_used_bytes,sysfs_used_delta_bytes,charge_ratio
100,3355443200,3355708416,13421772800,6134575104,3362009088,4.0000
101,3388997632,3221490688,13555990528,6168195072,3395629056,4.0000
102,3422552064,3047427072,13730054144,6201815040,3429249024,4.0116
103,3456106496,2953055232,13824425984,6235435008,3462868992,4.0000
104,3489660928,2818837504,13958643712,6269054976,3496488960,4.0000
105,3523215360,2684619776,14092861440,6302674944,3530108928,4.0000
106,3556769792,2550402048,14227079168,6336294912,3563728896,4.0000
107,3590324224,2376338432,14401142784,6369914880,3597348864,4.0111
108,3623878656,2281966592,14495514624,6403534848,3630968832,4.0000
109,3657433088,2147748864,14629732352,6437154816,3664588800,4.0000
110,3690987520,2013531136,14763950080,6470774784,3698208768,4.0000
111,3724541952,1828981760,14948499456,6504394752,3731828736,4.0135
112,3758096384,1745095680,15032385536,6538014720,3765448704,4.0000
113,3791650816,1610877952,15166603264,6571634688,3799068672,4.0000
114,3825205248,1476660224,15300820992,6605254656,3832688640,4.0000
115,3858759680,1342442496,15435038720,6638874624,3866308608,4.0000
116,3892314112,1208224768,15569256448,6672494592,3899928576,4.0000
117,3925868544,1074007040,15703474176,6706114560,3933548544,4.0000
118,3959422976,939789312,15837691904,6739734528,3967168512,4.0000
119,3992977408,805571584,15971909632,6773354496,4000788480,4.0000
120,4026531840,631507968,16145973248,6806974464,4034408448,4.0099
121,4060086272,537136128,16240345088,6840594432,4068028416,4.0000
122,4093640704,402918400,16374562816,6874214400,4101648384,4.0000
123,4127195136,268700672,16508780544,6907834368,4135268352,4.0000
124,4160749568,94637056,16682844160,6941454336,4168888320,4.0096
125,4194304000,58985472,16718495744,6975074304,4202508288,3.9860
126,4227858432,58985472,16718495744,7008694272,4236128256,3.9544
127,4261412864,58985472,16718495744,7042314240,4269748224,3.9232
128,4294967296,58985472,16718495744,7075938304,4303372288,3.8926
129,4328521728,58985472,16718495744,7109558272,4336992256,3.8624
130,4362076160,58985472,16718495744,7143178240,4370612224,3.8327
131,4395630592,58985472,16718495744,7176798208,4404232192,3.8034
132,4429185024,58985472,16718495744,7210418176,4437852160,3.7746
133,4462739456,58985472,16718495744,7244038144,4471472128,3.7462
134,4496293888,58985472,16718495744,7277658112,4505092096,3.7183
135,4529848320,58985472,16718495744,7311278080,4538712064,3.6907
136,4563402752,58985472,16718495744,7344898048,4572332032,3.6636
137,4596957184,58985472,16718495744,7378518016,4605952000,3.6369
138,4630511616,58985472,16718495744,7412137984,4639571968,3.6105
139,4664066048,58985472,16718495744,7445757952,4673191936,3.5845
140,4697620480,58985472,16718495744,7479377920,4706811904,3.5589
141,4731174912,58985472,16718495744,7512997888,4740431872,3.5337
142,4764729344,58985472,16718495744,7546617856,4774051840,3.5088
143,4798283776,58985472,16718495744,7580237824,4807671808,3.4843
144,4831838208,58985472,16718495744,7613857792,4841291776,3.4601
145,4865392640,58985472,16718495744,7647477760,4874911744,3.4362
146,4898947072,58985472,16718495744,7681097728,4908531712,3.4127
147,4932501504,58985472,16718495744,7714717696,4942151680,3.3895
148,4966055936,58985472,16718495744,7748337664,4975771648,3.3666
149,4999610368,58985472,16718495744,7781957632,5009391616,3.3440
